,Survived,Pclass,Sex,Age,Fare,Embarked,Title,Family
179,0,3,male,36.0,0.0,S,Mr,0
180,0,3,female,21.7739726027,69.55,S,Miss,10
181,0,2,male,32.3680904523,15.05,C,Mr,0
182,0,3,male,9.0,31.3875,S,Master,6
183,1,2,male,1.0,39.0,S,Master,3
184,1,3,female,4.0,22.025,S,Miss,2
185,0,1,male,32.3680904523,50.0,S,Mr,0
186,1,3,female,35.8981481481,15.5,Q,Mrs,1
187,1,1,male,45.0,26.55,S,Mr,0
188,0,3,male,40.0,15.5,Q,Mr,2
189,0,3,male,36.0,7.8958,S,Mr,0
190,1,2,female,32.0,13.0,S,Mrs,0
191,0,2,male,19.0,13.0,S,Mr,0
192,1,3,female,19.0,7.8542,S,Miss,1
193,1,2,male,3.0,26.0,S,Master,2
194,1,1,female,44.0,27.7208,C,Mrs,0
195,1,1,female,58.0,146.5208,C,Miss,0
196,0,3,male,32.3680904523,7.75,Q,Mr,0
197,0,3,male,42.0,8.4042,S,Mr,1
198,1,3,female,21.7739726027,7.75,Q,Miss,0
199,0,2,female,24.0,13.0,S,Miss,0
200,0,3,male,28.0,9.5,S,Mr,0
201,0,3,male,32.3680904523,69.55,S,Mr,10
202,0,3,male,34.0,6.4958,S,Mr,0
203,0,3,male,45.5,7.225,C,Mr,0
204,1,3,male,18.0,8.05,S,Mr,0
205,0,3,female,2.0,10.4625,S,Miss,1
206,0,3,male,32.0,15.85,S,Mr,1
207,1,3,male,26.0,18.7875,C,Mr,0
208,1,3,female,16.0,7.75,Q,Miss,0
209,1,1,male,40.0,31.0,C,Mr,0
210,0,3,male,24.0,7.05,S,Mr,0
211,1,2,female,35.0,21.0,S,Miss,0
212,0,3,male,22.0,7.25,S,Mr,0
213,0,2,male,30.0,13.0,S,Mr,0
214,0,3,male,32.3680904523,7.75,Q,Mr,1
215,1,1,female,31.0,113.275,C,Miss,1
216,1,3,female,27.0,7.925,S,Miss,0
217,0,2,male,42.0,27.0,S,Mr,1
218,1,1,female,32.0,76.2917,C,Miss,0
219,0,2,male,30.0,10.5,S,Mr,0
220,1,3,male,16.0,8.05,S,Mr,0
221,0,2,male,27.0,13.0,S,Mr,0
222,0,3,male,51.0,8.05,S,Mr,0
223,0,3,male,32.3680904523,7.8958,S,Mr,0
224,1,1,male,38.0,90.0,S,Mr,1
225,0,3,male,22.0,9.35,S,Mr,0
226,1,2,male,19.0,10.5,S,Mr,0
227,0,3,male,20.5,7.25,S,Mr,0
228,0,2,male,18.0,13.0,S,Mr,0
229,0,3,female,21.7739726027,25.4667,S,Miss,4
230,1,1,female,35.0,83.475,S,Mrs,1
231,0,3,male,29.0,7.775,S,Mr,0
232,0,2,male,59.0,13.5,S,Mr,0
233,1,3,female,5.0,31.3875,S,Miss,6
234,0,2,male,24.0,10.5,S,Mr,0
235,0,3,female,21.7739726027,7.55,S,Miss,0
236,0,2,male,44.0,26.0,S,Mr,1
237,1,2,female,8.0,26.25,S,Miss,2
238,0,2,male,19.0,10.5,S,Mr,0
239,0,2,male,33.0,12.275,S,Mr,0
240,0,3,female,21.7739726027,14.4542,C,Miss,1
241,1,3,female,21.7739726027,15.5,Q,Miss,1
242,0,2,male,29.0,10.5,S,Mr,0
243,0,3,male,22.0,7.125,S,Mr,0
244,0,3,male,30.0,7.225,C,Mr,0
245,0,1,male,44.0,90.0,Q,Dr,2
246,0,3,female,25.0,7.775,S,Miss,0
247,1,2,female,24.0,14.5,S,Mrs,2
248,1,1,male,37.0,52.5542,S,Mr,2
249,0,2,male,54.0,26.0,S,Rev,1
250,0,3,male,32.3680904523,7.25,S,Mr,0
251,0,3,female,29.0,10.4625,S,Mrs,2
252,0,1,male,62.0,26.55,S,Mr,0
253,0,3,male,30.0,16.1,S,Mr,1
254,0,3,female,41.0,20.2125,S,Mrs,2
255,1,3,female,29.0,15.2458,C,Mrs,2
256,1,1,female,35.8981481481,79.2,C,Mrs,0
257,1,1,female,30.0,86.5,S,Miss,0
258,1,1,female,35.0,512.3292,C,Miss,0
259,1,2,female,50.0,26.0,S,Mrs,1
260,0,3,male,32.3680904523,7.75,Q,Mr,0
261,1,3,male,3.0,31.3875,S,Master,6
262,0,1,male,52.0,79.65,S,Mr,2
263,0,1,male,40.0,0.0,S,Mr,0
264,0,3,female,21.7739726027,7.75,Q,Miss,0
265,0,2,male,36.0,10.5,S,Mr,0
266,0,3,male,16.0,39.6875,S,Mr,5
267,1,3,male,25.0,7.775,S,Mr,1
268,1,1,female,58.0,153.4625,S,Mrs,1
269,1,1,female,35.0,135.6333,S,Miss,0
270,0,1,male,32.3680904523,31.0,S,Mr,0
271,1,3,male,25.0,0.0,S,Mr,0
272,1,2,female,41.0,19.5,S,Mrs,1
273,0,1,male,37.0,29.7,C,Mr,1
274,1,3,female,21.7739726027,7.75,Q,Miss,0
275,1,1,female,63.0,77.9583,S,Miss,1
276,0,3,female,45.0,7.75,S,Miss,0
277,0,2,male,32.3680904523,0.0,S,Mr,0
278,0,3,male,7.0,29.125,Q,Master,5
279,1,3,female,35.0,20.25,S,Mrs,2
280,0,3,male,65.0,7.75,Q,Mr,0
281,0,3,male,28.0,7.8542,S,Mr,0
282,0,3,male,16.0,9.5,S,Mr,0
283,1,3,male,19.0,8.05,S,Mr,0
284,0,1,male,32.3680904523,26.0,S,Mr,0
285,0,3,male,33.0,8.6625,C,Mr,0
286,1,3,male,30.0,9.5,S,Mr,0
287,0,3,male,22.0,7.8958,S,Mr,0
288,1,2,male,42.0,13.0,S,Mr,0
289,1,3,female,22.0,7.75,Q,Miss,0
290,1,1,female,26.0,78.85,S,Miss,0
291,1,1,female,19.0,91.0792,C,Mrs,1
292,0,2,male,36.0,12.875,C,Mr,0
293,0,3,female,24.0,8.85,S,Miss,0
294,0,3,male,24.0,7.8958,S,Mr,0
295,0,1,male,32.3680904523,27.7208,C,Mr,0
296,0,3,male,23.5,7.2292,C,Mr,0
297,0,1,female,2.0,151.55,S,Miss,3
298,1,1,male,32.3680904523,30.5,S,Mr,0
299,1,1,female,50.0,247.5208,C,Mrs,1
300,1,3,female,21.7739726027,7.75,Q,Miss,0
301,1,3,male,32.3680904523,23.25,Q,Mr,2
302,0,3,male,19.0,0.0,S,Mr,0
303,1,2,female,21.7739726027,12.35,Q,Miss,0
304,0,3,male,32.3680904523,8.05,S,Mr,0
305,1,1,male,0.92,151.55,S,Master,3
306,1,1,female,21.7739726027,110.8833,C,Miss,0
307,1,1,female,17.0,108.9,C,Mrs,1
308,0,2,male,30.0,24.0,C,Mr,1
309,1,1,female,30.0,56.9292,C,Miss,0
310,1,1,female,24.0,83.1583,C,Miss,0
311,1,1,female,18.0,262.375,C,Miss,4
312,0,2,female,26.0,26.0,S,Mrs,2
313,0,3,male,28.0,7.8958,S,Mr,0
314,0,2,male,43.0,26.25,S,Mr,2
315,1,3,female,26.0,7.8542,S,Miss,0
316,1,2,female,24.0,26.0,S,Mrs,1
317,0,2,male,54.0,14.0,S,Dr,0
318,1,1,female,31.0,164.8667,S,Miss,2
319,1,1,female,40.0,134.5,C,Mrs,2
320,0,3,male,22.0,7.25,S,Mr,0
321,0,3,male,27.0,7.8958,S,Mr,0
322,1,2,female,30.0,12.35,Q,Miss,0
323,1,2,female,22.0,29.0,S,Mrs,2
324,0,3,male,32.3680904523,69.55,S,Mr,10
325,1,1,female,36.0,135.6333,C,Miss,0
326,0,3,male,61.0,6.2375,S,Mr,0
327,1,2,female,36.0,13.0,S,Mrs,0
328,1,3,female,31.0,20.525,S,Mrs,2
329,1,1,female,16.0,57.9792,C,Miss,1
330,1,3,female,21.7739726027,23.25,Q,Miss,2
331,0,1,male,45.5,28.5,S,Mr,0
332,0,1,male,38.0,153.4625,S,Mr,1
333,0,3,male,16.0,18.0,S,Mr,2
334,1,1,female,35.8981481481,133.65,S,Mrs,1
335,0,3,male,32.3680904523,7.8958,S,Mr,0
336,0,1,male,29.0,66.6,S,Mr,1
337,1,1,female,41.0,134.5,C,Miss,0
338,1,3,male,45.0,8.05,S,Mr,0
339,0,1,male,45.0,35.5,S,Mr,0
340,1,2,male,2.0,26.0,S,Master,2
341,1,1,female,24.0,263.0,S,Miss,5
342,0,2,male,28.0,13.0,S,Mr,0
343,0,2,male,25.0,13.0,S,Mr,0
344,0,2,male,36.0,13.0,S,Mr,0
345,1,2,female,24.0,13.0,S,Miss,0
346,1,2,female,40.0,13.0,S,Miss,0
347,1,3,female,35.8981481481,16.1,S,Mrs,1
348,1,3,male,3.0,15.9,S,Master,2
349,0,3,male,42.0,8.6625,S,Mr,0
350,0,3,male,23.0,9.225,S,Mr,0
351,0,1,male,32.3680904523,35.0,S,Mr,0
352,0,3,male,15.0,7.2292,C,Mr,2
353,0,3,male,25.0,17.8,S,Mr,1
354,0,3,male,32.3680904523,7.225,C,Mr,0
355,0,3,male,28.0,9.5,S,Mr,0
356,1,1,female,22.0,55.0,S,Miss,1
357,0,2,female,38.0,13.0,S,Miss,0
358,1,3,female,21.7739726027,7.8792,Q,Miss,0
359,1,3,female,21.7739726027,7.8792,Q,Miss,0
360,0,3,male,40.0,27.9,S,Mr,5
361,0,2,male,29.0,27.7208,C,Mr,1
362,0,3,female,45.0,14.4542,C,Mrs,1
363,0,3,male,35.0,7.05,S,Mr,0
364,0,3,male,32.3680904523,15.5,Q,Mr,1
365,0,3,male,30.0,7.25,S,Mr,0
366,1,1,female,60.0,75.25,C,Mrs,1
367,1,3,female,35.8981481481,7.2292,C,Mrs,0
368,1,3,female,21.7739726027,7.75,Q,Miss,0
369,1,1,female,24.0,69.3,C,Mme,0
370,1,1,male,25.0,55.4417,C,Mr,1
371,0,3,male,18.0,6.4958,S,Mr,1
372,0,3,male,19.0,8.05,S,Mr,0
373,0,1,male,22.0,135.6333,C,Mr,0
374,0,3,female,3.0,21.075,S,Miss,4
375,1,1,female,35.8981481481,82.1708,C,Mrs,1
376,1,3,female,22.0,7.25,S,Miss,0
377,0,1,male,27.0,211.5,C,Mr,2
378,0,3,male,20.0,4.0125,C,Mr,0
379,0,3,male,19.0,7.775,S,Mr,0
380,1,1,female,42.0,227.525,C,Miss,0
381,1,3,female,1.0,15.7417,C,Miss,2
382,0,3,male,32.0,7.925,S,Mr,0
383,1,1,female,35.0,52.0,S,Mrs,1
384,0,3,male,32.3680904523,7.8958,S,Mr,0
385,0,2,male,18.0,73.5,S,Mr,0
386,0,3,male,1.0,46.9,S,Master,7
387,1,2,female,36.0,13.0,S,Miss,0
388,0,3,male,32.3680904523,7.7292,Q,Mr,0
389,1,2,female,17.0,12.0,C,Miss,0
390,1,1,male,36.0,120.0,S,Mr,3
391,1,3,male,21.0,7.7958,S,Mr,0
392,0,3,male,28.0,7.925,S,Mr,2
393,1,1,female,23.0,113.275,C,Miss,1
394,1,3,female,24.0,16.7,S,Mrs,2
395,0,3,male,22.0,7.7958,S,Mr,0
396,0,3,female,31.0,7.8542,S,Miss,0
397,0,2,male,46.0,26.0,S,Mr,0
398,0,2,male,23.0,10.5,S,Dr,0
399,1,2,female,28.0,12.65,S,Mrs,0
400,1,3,male,39.0,7.925,S,Mr,0
401,0,3,male,26.0,8.05,S,Mr,0
402,0,3,female,21.0,9.825,S,Miss,1
403,0,3,male,28.0,15.85,S,Mr,1
404,0,3,female,20.0,8.6625,S,Miss,0
405,0,2,male,34.0,21.0,S,Mr,1
406,0,3,male,51.0,7.75,S,Mr,0
407,1,2,male,3.0,18.75,S,Master,2
408,0,3,male,21.0,7.775,S,Mr,0
409,0,3,female,21.7739726027,25.4667,S,Miss,4
410,0,3,male,32.3680904523,7.8958,S,Mr,0
411,0,3,male,32.3680904523,6.8583,Q,Mr,0
412,1,1,female,33.0,90.0,Q,Miss,1
413,0,2,male,32.3680904523,0.0,S,Mr,0
414,1,3,male,44.0,7.925,S,Mr,0
415,0,3,female,35.8981481481,8.05,S,Mrs,0
416,1,2,female,34.0,32.5,S,Mrs,2
417,1,2,female,18.0,13.0,S,Miss,2
418,0,2,male,30.0,13.0,S,Mr,0
419,0,3,female,10.0,24.15,S,Miss,2
420,0,3,male,32.3680904523,7.8958,C,Mr,0
421,0,3,male,21.0,7.7333,Q,Mr,0
422,0,3,male,29.0,7.875,S,Mr,0
423,0,3,female,28.0,14.4,S,Mrs,2
424,0,3,male,18.0,20.2125,S,Mr,2
425,0,3,male,32.3680904523,7.25,S,Mr,0
426,1,2,female,28.0,26.0,S,Mrs,1
427,1,2,female,19.0,26.0,S,Miss,0
428,0,3,male,32.3680904523,7.75,Q,Mr,0
429,1,3,male,32.0,8.05,S,Mr,0
430,1,1,male,28.0,26.55,S,Mr,0
431,1,3,female,35.8981481481,16.1,S,Mrs,1
432,1,2,female,42.0,26.0,S,Mrs,1
433,0,3,male,17.0,7.125,S,Mr,0
434,0,1,male,50.0,55.9,S,Mr,1
435,1,1,female,14.0,120.0,S,Miss,3
436,0,3,female,21.0,34.375,S,Miss,4
437,1,2,female,24.0,18.75,S,Mrs,5
438,0,1,male,64.0,263.0,S,Mr,5
439,0,2,male,31.0,10.5,S,Mr,0
440,1,2,female,45.0,26.25,S,Mrs,2
441,0,3,male,20.0,9.5,S,Mr,0
442,0,3,male,25.0,7.775,S,Mr,1
443,1,2,female,28.0,13.0,S,Ms,0
444,1,3,male,32.3680904523,8.1125,S,Mr,0
445,1,1,male,4.0,81.8583,S,Master,2
446,1,2,female,13.0,19.5,S,Miss,1
447,1,1,male,34.0,26.55,S,Mr,0
448,1,3,female,5.0,19.2583,C,Miss,3
449,1,1,male,52.0,30.5,S,Major,0
450,0,2,male,36.0,27.75,S,Mr,3
451,0,3,male,32.3680904523,19.9667,S,Mr,1
452,0,1,male,30.0,27.75,C,Mr,0
453,1,1,male,49.0,89.1042,C,Mr,1
454,0,3,male,32.3680904523,8.05,S,Mr,0
455,1,3,male,29.0,7.8958,C,Mr,0
456,0,1,male,65.0,26.55,S,Mr,0
457,1,1,female,35.8981481481,51.8625,S,Mrs,1
458,1,2,female,50.0,10.5,S,Miss,0
459,0,3,male,32.3680904523,7.75,Q,Mr,0
460,1,1,male,48.0,26.55,S,Mr,0
461,0,3,male,34.0,8.05,S,Mr,0
462,0,1,male,47.0,38.5,S,Mr,0
463,0,2,male,48.0,13.0,S,Mr,0
464,0,3,male,32.3680904523,8.05,S,Mr,0
465,0,3,male,38.0,7.05,S,Mr,0
466,0,2,male,32.3680904523,0.0,S,Mr,0
467,0,1,male,56.0,26.55,S,Mr,0
468,0,3,male,32.3680904523,7.725,Q,Mr,0
469,1,3,female,0.75,19.2583,C,Miss,3
470,0,3,male,32.3680904523,7.25,S,Mr,0
471,0,3,male,38.0,8.6625,S,Mr,0
472,1,2,female,33.0,27.75,S,Mrs,3
473,1,2,female,23.0,13.7917,C,Mrs,0
474,0,3,female,22.0,9.8375,S,Miss,0
475,0,1,male,32.3680904523,52.0,S,Mr,0
476,0,2,male,34.0,21.0,S,Mr,1
477,0,3,male,29.0,7.0458,S,Mr,1
478,0,3,male,22.0,7.5208,S,Mr,0
479,1,3,female,2.0,12.2875,S,Miss,1
480,0,3,male,9.0,46.9,S,Master,7
481,0,2,male,32.3680904523,0.0,S,Mr,0
482,0,3,male,50.0,8.05,S,Mr,0
483,1,3,female,63.0,9.5875,S,Mrs,0
484,1,1,male,25.0,91.0792,C,Mr,1
485,0,3,female,21.7739726027,25.4667,S,Miss,4
486,1,1,female,35.0,90.0,S,Mrs,1
487,0,1,male,58.0,29.7,C,Mr,0
488,0,3,male,30.0,8.05,S,Mr,0
489,1,3,male,9.0,15.9,S,Master,2
490,0,3,male,32.3680904523,19.9667,S,Mr,1
491,0,3,male,21.0,7.25,S,Mr,0
492,0,1,male,55.0,30.5,S,Mr,0
493,0,1,male,71.0,49.5042,C,Mr,0
494,0,3,male,21.0,8.05,S,Mr,0
495,0,3,male,32.3680904523,14.4583,C,Mr,0
496,1,1,female,54.0,78.2667,C,Miss,1
497,0,3,male,32.3680904523,15.1,S,Mr,0
498,0,1,female,25.0,151.55,S,Mrs,3
499,0,3,male,24.0,7.7958,S,Mr,0
500,0,3,male,17.0,8.6625,S,Mr,0
501,0,3,female,21.0,7.75,Q,Miss,0
502,0,3,female,21.7739726027,7.6292,Q,Miss,0
503,0,3,female,37.0,9.5875,S,Miss,0
504,1,1,female,16.0,86.5,S,Miss,0
505,0,1,male,18.0,108.9,C,Mr,1
506,1,2,female,33.0,26.0,S,Mrs,2
507,1,1,male,32.3680904523,26.55,S,Mr,0
508,0,3,male,28.0,22.525,S,Mr,0
509,1,3,male,26.0,56.4958,S,Mr,0
510,1,3,male,29.0,7.75,Q,Mr,0
511,0,3,male,32.3680904523,8.05,S,Mr,0
512,1,1,male,36.0,26.2875,S,Mr,0
513,1,1,female,54.0,59.4,C,Mrs,1
514,0,3,male,24.0,7.4958,S,Mr,0
515,0,1,male,47.0,34.0208,S,Mr,0
516,1,2,female,34.0,10.5,S,Mrs,0
517,0,3,male,32.3680904523,24.15,Q,Mr,0
518,1,2,female,36.0,26.0,S,Mrs,1
519,0,3,male,32.0,7.8958,S,Mr,0
520,1,1,female,30.0,93.5,S,Miss,0
521,0,3,male,22.0,7.8958,S,Mr,0
522,0,3,male,32.3680904523,7.225,C,Mr,0
523,1,1,female,44.0,57.9792,C,Mrs,1
524,0,3,male,32.3680904523,7.2292,C,Mr,0
525,0,3,male,40.5,7.75,Q,Mr,0
526,1,2,female,50.0,10.5,S,Miss,0
527,0,1,male,32.3680904523,221.7792,S,Mr,0
528,0,3,male,39.0,7.925,S,Mr,0
529,0,2,male,23.0,11.5,S,Mr,3
530,1,2,female,2.0,26.0,S,Miss,2
531,0,3,male,32.3680904523,7.2292,C,Mr,0
532,0,3,male,17.0,7.2292,C,Mr,2
533,1,3,female,35.8981481481,22.3583,C,Mrs,2
534,0,3,female,30.0,8.6625,S,Miss,0
535,1,2,female,7.0,26.25,S,Miss,2
536,0,1,male,45.0,26.55,S,Major,0
537,1,1,female,30.0,106.425,C,Miss,0
538,0,3,male,32.3680904523,14.5,S,Mr,0
539,1,1,female,22.0,49.5,C,Miss,2
540,1,1,female,36.0,71.0,S,Miss,2
541,0,3,female,9.0,31.275,S,Miss,6
542,0,3,female,11.0,31.275,S,Miss,6
543,1,2,male,32.0,26.0,S,Mr,1
544,0,1,male,50.0,106.425,C,Mr,1
545,0,1,male,64.0,26.0,S,Mr,0
546,1,2,female,19.0,26.0,S,Mrs,1
547,1,2,male,32.3680904523,13.8625,C,Mr,0
548,0,3,male,33.0,20.525,S,Mr,2
549,1,2,male,8.0,36.75,S,Master,2
550,1,1,male,17.0,110.8833,C,Mr,2
551,0,2,male,27.0,26.0,S,Mr,0
552,0,3,male,32.3680904523,7.8292,Q,Mr,0
553,1,3,male,22.0,7.225,C,Mr,0
